Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
345 Northeast 89th Street,Seattle,Washington,98115,"Moss Removal (1, $485), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $195), Interior Window Cleaning (1, $155), Exterior Window Cleaning (1, $190), Track Cleaning (1, $131), Window Frame Cleaning  (1, $76), Additional Discount (1, $-104)",160,Composite - Architectural,1730,1048600,1459313,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,20ft,,,
345 Northwest 83rd Street,Seattle,Washington,98117,"Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $135), Preventative Roof Treatment - Zinc Powder (1, $120), Exterior Gutter Washing (1, $190), Gutter Guard Installation (1, $850), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $30), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-80)",120,Composite - 3 Tab,1320,913900,855225,N/A,,Composite - 3 Tab,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
345 Northwest 83rd Street,Seattle,Washington,98117,"Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), St. Patrick’s Day Gutter Clearing Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $135), Preventative Roof Treatment - Zinc Powder (1, $120), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $30), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-80)",120,Composite - 3 Tab,1320,913900,855225,N/A,,Composite - 3 Tab,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
3451 North Terry Street,Portland,Oregon,97217,"Exterior Window Cleaning (1, $240), Screen Cleaning Disclaimer (1, $0), No Screen Cleaning (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $140), Gutter Clearing (1, $250), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1250), Interior Window Cleaning (1, $195), Track Cleaning (1, $165), Window Frame Cleaning  (1, $96), Solar Panel Cleaning (1, $215)",140,Composite - Architectural,2406,743200,378244,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
3462 Walnut Avenue Southwest,Seattle,Washington,98116,"Moss Removal (1, $245), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $235), Screen Cleaning (1, $30), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-40), Booking Discount (1, $-55), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $190), Track Cleaning (1, $153), Window Frame Cleaning  (1, $94)",150,Composite - Architectural,1220,968000,1160238,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
347 North 76th Street,Seattle,Washington,98103,"Gutter Clearing (1, $385), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $320), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $90), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $215), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $310), Gutter Guard Installation (1, $1945), Track Cleaning (1, $272), Window Frame Cleaning  (1, $148), Skylight Cleaning (1, $80), Booking Discount (1, $-187)",180,Composite - Architectural,2970,1812000,1063438,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
347 South 183rd Street,Burien,Washington,98148,"Interior Window Cleaning (1, $190), Exterior Window Cleaning (1, $235), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $140), Gutter Clearing (1, $240), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1200), Track Cleaning (1, $161), Window Frame Cleaning  (1, $94)",140,Composite - Architectural,2680,658800,617413,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
348 North 104th Street,Seattle,Washington,98133,"Skylight Cleaning (3, $60), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $135), Preventative Roof Treatment - Zinc Powder (1, $125), Gutter Clearing (1, $225), Exterior Gutter Washing (1, $195), Track Cleaning (1, $114), Window Frame Cleaning  (1, $78)",125,Composite - Architectural,1670,747900,724813,N/A,,Composite - Architectural,9 / 12,1 - 3,20ft,4 - 8,20ft,4 - 8,20ft,,,
348 North 138th Street,Seattle,Washington,98133,"Moss Removal (1, $975), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Pressure Washing - Driveway & Walkways (1, $865), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1320), House Wash (1, $1080), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $295), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $118), Window Cleaning Discount (1, $-65)",135,Composite - Architectural,2250,929900,862963,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
349 North 77th Street,Seattle,Washington,98103,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-40), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $1155), House Wash (1, $1080), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $210), Screen Cleaning (1, $40), Track Cleaning (1, $123), Window Frame Cleaning  (1, $84), Window Cleaning Discount (1, $-50), Solar Panel Cleaning (1, $395)",150,Composite - Architectural,1780,1077700,1395025,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
349 North 77th Street,Seattle,Washington,98103,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $1155), Interior Window Cleaning (1, $170), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $30), Track Cleaning (1, $144), Window Frame Cleaning  (1, $78), Window Cleaning Discount (1, $-40)",150,Composite - Architectural,1780,1077700,1395025,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
350 Northwest 81st Street,Seattle,Washington,98117,"Moss Removal (1, $375), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $130), Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), House Wash (1, $1035), Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $225), Screen Cleaning (1, $35), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-190), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1225), Track Cleaning (1, $127), Window Frame Cleaning  (1, $90)",130,Composite - Architectural,1510,1023500,878524,N/A,,Composite - Architectural,10 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,32ft,,,
3500 South Hudson Street,Seattle,Washington,98118,"Skylight Cleaning (1, $40), Solar Panel Cleaning (1, $490), 40' Ladder Required (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $360), Gutter Guard Installation (1, $1375), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $290), Screen Cleaning (1, $65), Track Cleaning (1, $182), Window Frame Cleaning  (1, $116), Window Cleaning Discount (1, $-80), Gutter Clearing (1, $450)",150,Composite - Architectural,4250,1383800,696588,N/A,,Composite - Architectural,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft,,,
3505 Northeast 187th Street,Lake Forest Park,Washington,98155,"Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1385), House Wash (1, $1290), Interior Window Cleaning (1, $230), Exterior Window Cleaning (1, $325), Screen Cleaning (1, $55), Track Cleaning (1, $195), Window Frame Cleaning  (1, $130), Window Cleaning Discount (1, $-45), Pressure Washing - Driveway (1, $620)",170,Composite - Architectural,2329,1093400,922486,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
3507 31st Avenue West,Seattle,Washington,98199,"Exterior Window Cleaning (1, $230), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $260), Exterior Gutter Washing (1, $210), Interior Window Cleaning (1, $165), Screen Cleaning (1, $50), Track Cleaning (1, $140), Window Frame Cleaning  (1, $92), Window Cleaning Discount (1, $-65)",155,Composite - Architectural,2200,1240400,1409088,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
3510 29th Avenue West,Seattle,Washington,98199,"Interior Window Cleaning (1, $320), Exterior Window Cleaning (1, $485), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $145), Gutter Clearing (1, $355), Exterior Gutter Washing (1, $235), Screen Cleaning (1, $85), Track Cleaning (1, $272), Window Frame Cleaning  (1, $194), Window Cleaning Discount (1, $-100)",145,Composite - Architectural,2600,1499700,1606275,N/A,,Composite - Architectural,7 / 12,1 - 3,40ft,4 - 8,40ft,20+,40ft,,,
3510 Northeast 96th Street,Seattle,Washington,98115,"Moss Removal (1, $270), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $320), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $225), Gutter Guard Installation (1, $1310), House Wash (1, $1070), Track Cleaning (1, $191), Window Frame Cleaning  (1, $128), Pressure Washing - Driveway & Front Walkway (1, $635), Pressure Washing - Side and Back Walkways (1, $515), Pressure Washing Discount (1, $-150)",150,Composite - Architectural,1785,1089300,1114443,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
3510 Northeast 96th Street,Seattle,Washington,98115,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $320), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0)",150,Composite - Architectural,1785,1089300,1114443,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
35128 Southeast Kinsey Street,Snoqualmie,Washington,98065,"Moss Removal (1, $740), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $295), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1480), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $240), Screen Cleaning (1, $45), Track Cleaning (1, $140), Window Frame Cleaning  (1, $96), Window Cleaning Discount (1, $-60)",150,Composite - Architectural,2340,1035300,966825,N/A,,Composite - Architectural,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft,,,
3514 Northeast 90th Street,Seattle,Washington,98115,"Moss Removal (1, $870), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $245), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $190), Booking Discount (1, $-115), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $180), Screen Cleaning (1, $25), Track Cleaning (1, $114), Window Frame Cleaning  (1, $72), Window Cleaning Discount (1, $-35)",150,Composite - Architectural,1250,919300,1087225,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
3515 East Alder Street,Seattle,Washington,98122,"Moss Removal (1, $640), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $140), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-90), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $200), House Wash (1, $1185), Interior Window Cleaning (1, $200), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $50), Track Cleaning (1, $170), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-40)",140,Composite - Architectural,1690,1000000,1339350,N/A,,Composite - Architectural,Steeper Than 12 / 12,4 - 8,28ft,4 - 8,28ft,9 - 20,28ft,,,
3518 29th Avenue West,Seattle,Washington,98199,"Preventative Roof Treatment - Chemical Spray (1, $250), Preventative Roof Treatment - Zinc Powder (1, $225), Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $300), House Wash (1, $2100), Interior Window Cleaning (1, $610), Exterior Window Cleaning (1, $875), Screen Cleaning (1, $100), Track Cleaning (1, $518), Window Frame Cleaning  (1, $350), Window Cleaning Discount (1, $-130)",225,Composite - Architectural,2920,1970200,1578663,N/A,,Composite - Architectural,12 / 12,9 - 20,40ft,9 - 20,40ft,9 - 20,32ft,,,
3518 Northwest Maple Street,Camas,Washington,98607,"Moss Removal (1, $800), Gutter Clearing (1, $325), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount  (1, $-175), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $175), Exterior Gutter Washing (1, $300), Gutter Guard Installation (1, $1760), Interior Window Cleaning (1, $290), Exterior Window Cleaning (1, $320), Screen Cleaning (1, $55), Track Cleaning (1, $246), Window Frame Cleaning  (1, $128)",175,Composite - Architectural,3575,1154200,1340325,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
3520 150th Street Southeast,Mill Creek,Washington,98012,"Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $245), Gutter Guard Installation (1, $1740), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $310), Screen Cleaning (1, $60), Track Cleaning (1, $191), Window Frame Cleaning  (1, $124), Window Cleaning Discount (1, $-75)",165,Composite - Architectural,2626,1442400,1307271,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
3520 Northeast 190th Place,Lake Forest Park,Washington,98155,"Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $240), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $215), Interior Window Cleaning (1, $190), Screen Cleaning (1, $40), Track Cleaning (1, $161), Window Frame Cleaning  (1, $96), Pressure Washing - Driveway (1, $625)",145,Composite - Architectural,2230,1061100,1221650,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
3521 South Bennett Street,Seattle,Washington,98118,"Gutter Clearing (1, $235), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Repair (1, $125), 60-Day Workmanship Guarantee (1, $0), Moss Removal (1, $685), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $125), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1085), House Wash (1, $770), Interior Window Cleaning (1, $140), Exterior Window Cleaning (1, $200), Screen Cleaning (1, $40), Track Cleaning (1, $119), Window Frame Cleaning  (1, $80), Window Cleaning Discount (1, $-25)",125,Composite - Architectural,870,615000,759875,1,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
3522 29th Avenue West,Seattle,Washington,98199,"Moss Removal (1, $485), Preventative Roof Treatment - Chemical Spray (1, $125), Preventative Roof Treatment - Zinc Powder (1, $100), Gutter Clearing (1, $215), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-75), Exterior Gutter Washing (1, $160), Gutter Guard Installation (1, $645), House Wash (1, $725), Interior Window Cleaning (1, $130), Exterior Window Cleaning (1, $190), Track Cleaning (1, $110), Window Frame Cleaning  (1, $76)",100,Composite - Architectural,1690,1031100,1618063,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
3524 South Morgan Street,Seattle,Washington,98118,"Gutter Clearing (1, $350), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $245), Gutter Guard Installation (1, $1645), Exterior Window Cleaning (1, $330), Interior Window Cleaning (1, $250), Screen Cleaning (1, $60), Track Cleaning (1, $212), Window Frame Cleaning  (1, $132), Window Cleaning Discount (1, $-85)",180,Composite - Architectural,1960,820000,844675,2,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
3524 Southwest Southern Street,Seattle,Washington,98126,"Gutter Clearing (1, $230), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), FALL PROMO (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $115), Exterior Gutter Washing (1, $185), Gutter Guard Installation (1, $785), House Wash (1, $735), Interior Window Cleaning (1, $140), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $35), Track Cleaning (1, $119), Window Frame Cleaning  (1, $78), Window Cleaning Discount (1, $-55)",115,Composite - Architectural,1390,776900,809488,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
3525 170th Place Northeast,Bellevue,Washington,98008,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $280), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1350), House Wash (1, $1385), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-85)",150,Composite - Architectural,2190,1558000,1422763,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
3526 Northeast 85th Street,Seattle,Washington,98115,"Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1380), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $330), Screen Cleaning (1, $50), Track Cleaning (1, $187), Window Frame Cleaning  (1, $132), Window Cleaning Discount (1, $-90), Skylight Cleaning (1, $80), Solar Panel Cleaning (1, $180)",160,Composite - Architectural,3090,1405000,1104850,2,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
3527 146th Street Southeast,Mill Creek,Washington,98012,"Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Gutter Washing (1, $225), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Guard Installation (1, $1680), Interior Window Cleaning (1, $220), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $60), Track Cleaning (1, $187), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-90), Skylight Cleaning (1, $60)",170,Composite - Architectural,2852,1251400,1141280,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
3528 Cherokee Court,West Linn,Oregon,97068,"Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $330), Screen Cleaning (1, $60), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $360), Exterior Gutter Washing (1, $305), Track Cleaning (1, $208), Window Frame Cleaning  (1, $132), Skylight Cleaning (1, $50)",180,Composite - Presidential,1856,625700,734788,N/A,,Composite - Presidential,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
353 Bronson Way Northeast,Renton,Washington,98056,"Gutter Clearing (1, $330), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Discount  (1, $-25), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1680), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $310), Screen Cleaning (1, $60), Track Cleaning (1, $191), Window Frame Cleaning  (1, $124), Window Cleaning Discount (1, $-70)",170,Composite - Architectural,3400,1077200,728420,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
353 Northwest 112th Street,Seattle,Washington,98177,"Gutter Clearing (1, $360), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $365), Screen Cleaning Disclaimer (1, $0), Valpak Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Pressure Washing - Driveway (1, $620), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $185), Exterior Gutter Washing (1, $305), Gutter Guard Installation (1, $1685), Track Cleaning (1, $238), Window Frame Cleaning  (1, $146)",185,Composite - Architectural,3560,1672400,985838,N/A,,Composite - Architectural,6 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
353 Yakima Place Southeast,Renton,Washington,98059,"Moss Removal (1, $285), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $140), Gutter Clearing (1, $255), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-70), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $245), Screen Cleaning (1, $30), Track Cleaning (1, $153), Window Frame Cleaning  (1, $98), Window Cleaning Discount (1, $-40)",140,Composite - Architectural,3045,1012900,914000,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
3530 Northwest 24th Circle,Camas,Washington,98607,"Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $285), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $235), Screen Cleaning (1, $50), Track Cleaning (1, $140), Window Frame Cleaning  (1, $94), Window Cleaning Discount (1, $-65)",180,Composite - Architectural,3156,899100,1034150,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,28ft,,,
3531 Northeast 89th Street,Seattle,Washington,98115,"Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $195), Booking Discount (1, $-30), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $130), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1220), House Wash (1, $1025), Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $200), Screen Cleaning (1, $40), Track Cleaning (1, $127), Window Frame Cleaning  (1, $80), Window Cleaning Discount (1, $-45)",130,Composite - 3 Tab,1420,854900,1029025,N/A,,Composite - 3 Tab,6 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft,,,
