Address,City,State,Zip,Gutter Clearing,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size
1650 Northeast 86th Street,Seattle,Washington,98115,300,N/A,1130,802100,938738,N/A,8 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
8233 16th Avenue Northeast,Seattle,Washington,98115,300,Composition,1860,999500,999625,1,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
8233 16th Avenue Northeast,Seattle,Washington,98115,300,Composition,1860,999500,999625,1,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
219 Nellis Road,Bothell,Washington,98012,300,Composition,1974,1090400,1027814,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
8850 Densmore Avenue North,Seattle,Washington,98103,300,N/A,2750,1330000,1002138,N/A,8 / 12,1 - 3,28ft,1 - 3,32ft,9 - 20,32ft
14628 20th Avenue Southwest,Burien,Washington,98166,300,Composition,2380,820000,884184,2,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
3017 13th Avenue West,Seattle,Washington,98119,300,Composition,1600,1202000,1354386,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
21320 Southeast 274th Place,Maple Valley,Washington,98038,300,N/A,2681,807900,779263,N/A,9 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
16970 Northeast 84th Court,Redmond,Washington,98052,300,N/A,3596,2026900,1720929,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
16136 Northeast 42nd Court,Redmond,Washington,98052,300,Shake / Shingle,2850,2001200,1932171,N/A,10 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
16136 Northeast 42nd Court,Redmond,Washington,98052,300,Shake / Shingle,2850,2001200,1932171,N/A,10 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
17806 105th Avenue Southeast,Snohomish,Washington,98296,300,Composition,3464,1192900,1061088,N/A,6 / 12,4 - 8,20ft,4 - 8,20ft,9 - 20,20ft
11817 Southeast 176th Court,Renton,Washington,98058,300,Composition,2836,840100,819000,N/A,9 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
1018 Northeast 97th Street,Seattle,Washington,98115,300,Composition,1930,1066300,689925,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1824 1st Avenue West,Seattle,Washington,98119,300,Composition,2230,1554500,1342257,N/A,,,,,,,
717 99th Avenue Southeast,Bellevue,Washington,98004,300,N/A,3100,2554700,2978963,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
5608 Latona Avenue Northeast,Seattle,Washington,98105,300,Other,3090,1570000,1106250,N/A,12 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
2715 Northeast 77th Street,Seattle,Washington,98115,300,N/A,3050,1841400,1394238,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,20+,32ft
4047 Williams Avenue West,Seattle,Washington,98199,300,Composition,4500,2113400,1104150,N/A,,,,,,,
16970 Northeast 84th Court,Redmond,Washington,98052,300,N/A,3596,2026900,1720929,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
16970 Northeast 84th Court,Redmond,Washington,98052,300,N/A,3596,2026900,1720929,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
11525 4th Avenue Northwest,Seattle,Washington,98177,300,Composition,2730,1317300,1240600,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
1233 Northeast 97th Street,Seattle,Washington,98115,300,Other,2870,1443900,996161,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,4 - 8,32ft
17209 108th Lane Northeast,Bothell,Washington,98011,300,N/A,3690,2358000,1966357,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft
6010 Southwest Orleans Street,Seattle,Washington,98116,300,Composition,2840,1821100,1556738,N/A,7 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
2120 2nd Avenue West,Seattle,Washington,98119,300,Composition,2700,2633200,1712913,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
8315 Northeast 126th Place,Kirkland,Washington,98034,300,N/A,3070,1897800,1659950,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
11624 Northeast 65th Street,Kirkland,Washington,98033,300,Composition,2470,1754600,1653138,N/A,,,,,,,
8739 2nd Avenue Northwest,Seattle,Washington,98117,300,N/A,3270,1719600,809475,N/A,,,,,,,
18640 Southeast Jacoby Road,Sandy,Oregon,97055,300,N/A,2654,630500,565913,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
211 31st Avenue South,Seattle,Washington,98144,300,Composition,2593,1315900,1600150,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
18241 Northeast 196th Street,Woodinville,Washington,98077,300,Composition,2670,1329800,1245925,N/A,5 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
4006 171st Street Southeast,Bothell,Washington,98012,300,Composition,2608,1433700,1515749,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft
18710 35th Avenue Northeast,Lake Forest Park,Washington,98155,300,Composition,1600,911700,963363,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
4119 South 224th Place,Kent,Washington,98032,300,Composition,1797,670900,647533,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
4119 South 224th Place,Kent,Washington,98032,300,Composition,1797,670900,647533,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1342 North 167th Street,Shoreline,Washington,98133,300,N/A,2478,1323300,909186,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
13230 Southeast 299th Street,Auburn,Washington,98092,300,Composition,3942,1045300,924188,N/A,,,,,,,
7305 18th Avenue Northwest,Seattle,Washington,98117,300,Composition,3250,1814400,955400,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
10700 Greenwood Avenue North,Seattle,Washington,98133,300,N/A,1360,664100,629700,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
6247 29th Avenue Northeast,Seattle,Washington,98115,300,N/A,2230,1411200,1074800,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
20306 122nd place Northeast,Bothell,Washington,98011,300,N/A,2414,1077200,1142013,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1014 Northeast 97th Street,Seattle,Washington,98115,300,N/A,630,761200,919600,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
16922 17th Drive Southeast,Mill Creek,Washington,98012,300,N/A,1708,930500,883038,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
8525 South 117th Street,Seattle,Washington,98178,300,N/A,3020,932800,639400,N/A,10 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
807 Northwest 88th Street,Seattle,Washington,98117,300,Composition,2950,1384500,800088,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
12553 8th Avenue Northwest,Seattle,Washington,98177,300,Composition,3800,2374500,1713706,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft
4935 44th Avenue South,Seattle,Washington,98118,300,Composition,2620,1266000,950700,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
3054 39th Avenue West,Seattle,Washington,98199,300,N/A,2900,1823000,1955238,N/A,9 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
9110 Southeast 78th Place,Mercer Island,Washington,98040,300,N/A,4200,3048500,3155550,N/A,,,,,,,
809 150th Street Southwest,Lynnwood,Washington,98087,300,Composition,2033,894200,848313,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
11 215th Street Southeast,Bothell,Washington,98021,300,Composition,2480,1343400,1330600,N/A,7 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
6622 High Point Drive Southwest,Seattle,Washington,98126,300,N/A,1900,785700,789050,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
7738 43rd Avenue Northeast,Seattle,Washington,98115,300,Composition,2920,1900000,1421650,2,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
8821 Meridian Avenue North,Seattle,Washington,98103,300,Composition,2250,1184700,953738,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
7718 113th Avenue Southeast,Newcastle,Washington,98056,300,N/A,4100,2841400,2292363,N/A,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
6716 Linden Avenue North,Seattle,Washington,98103,300,Composition,3500,1696000,980850,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
21810 42nd Avenue Southeast,Bothell,Washington,98021,300,N/A,3271,1420600,1308627,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft
2664 38th Avenue Southwest,Seattle,Washington,98126,300,Asphalt,2119,1416600,1138838,N/A,12 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,32ft
3056 Northeast 85th Street,Seattle,Washington,98115,300,N/A,3370,1576900,1027200,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
3056 Northeast 85th Street,Seattle,Washington,98115,300,N/A,3370,1576900,1027200,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
13342 30th Avenue Northeast,Seattle,Washington,98125,300,N/A,2680,1114500,727925,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft
4147 164th Avenue Southeast,Bellevue,Washington,98006,300,Composition,1730,1276200,1402743,N/A,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft
10539 11th Avenue Northwest,Seattle,Washington,98177,300,Composition,3240,1416900,1234150,N/A,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
5906 47th Avenue Southwest,Seattle,Washington,98136,300,N/A,2010,1227100,1128950,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
2604 Mayfair Avenue North,Seattle,Washington,98109,300,N/A,1050,1001100,1188850,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5615 Northeast 4th Court,Renton,Washington,98059,300,N/A,2950,1332500,1219688,N/A,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
2816 Northeast 12th Avenue,Portland,Oregon,97212,300,Composition,3404,984400,928725,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
13209 4th Avenue Southwest,Burien,Washington,98146,300,Composition,1990,645000,635950,2,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft
8836 129th Place Southeast,Newcastle,Washington,98056,300,Composition,2900,1466000,1525600,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1422A 18th Avenue,Seattle,Washington,98122,300,N/A,1390,846700,880989,N/A,7 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft
1628 California Avenue Southwest Apartment C,Seattle,Washington,98116,300,N/A,1690,875400,966657,N/A,,,,,,,
8245 43rd Avenue Northeast,Seattle,Washington,98115,300,Asphalt,2200,1122200,1107250,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
605 Lake Washington Boulevard East,Seattle,Washington,98112,300,,,,,,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
27235 51st Place South,Kent,Washington,98032,300,Composition,2070,759600,576143,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
27235 51st Place South,Kent,Washington,98032,300,Composition,2070,759600,576143,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
8813 Midvale Avenue North Unit B,Seattle,Washington,98103,300,N/A,1320,676100,783214,N/A,,,,,,,
1218 231st Street Southeast,Bothell,Washington,98021,300,Composition,2430,1250000,1188575,2,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
1526 Northeast 92nd Street,Seattle,Washington,98115,300,Metal,2500,1067200,904813,N/A,,,,,,,
5547 Wallingford Avenue North,Seattle,Washington,98103,300,N/A,2120,1315800,1330431,N/A,,,,,,,
217 South 104th Street,Seattle,Washington,98168,300,Composition,2632,950900,607144,N/A,7 / 12,,,,,,
1526 Northeast 92nd Street,Seattle,Washington,98115,300,Metal,2500,1067200,904813,N/A,,,,,,,
426 26th Avenue South,Seattle,Washington,98144,300,Flat,1265,696800,866979,Multi/Split,,,,,,,
13678 Southeast 66th Court,Newcastle,Washington,98059,300,N/A,2023,1142200,1297286,N/A,8 / 12,1 - 3,40ft,9 - 20,40ft,20+,40ft
13659 Southeast 67th Place,Newcastle,Washington,98059,300,Composition,2027,1231500,1238888,3,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
2443 233rd Place Northeast,Sammamish,Washington,98074,300,Other,2240,1362500,1340850,N/A,,,,,,,
3226 Northeast Glisan Street,Portland,Oregon,97232,300,N/A,3179,1081800,1169276,N/A,7 / 12,1 - 3,32ft,4 - 8,32ft,4 - 8,32ft
6716 Linden Avenue North,Seattle,Washington,98103,300,Composition,3500,1696000,980850,N/A,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5450 Delridge Way Southwest,Seattle,Washington,98106,300,N/A,1977,850300,797507,N/A,4 / 12 or less,1 - 3,40ft,1 - 3,40ft,9 - 20,40ft
9124 45th Avenue Southwest Unit B,Seattle,Washington,98136,300,N/A,1370,707800,708460,N/A,,,,,,,
18306 Andover Street,Edmonds,Washington,98026,300,Composition,3252,1308900,1087438,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
9810 Mercerwood Drive,Mercer Island,Washington,98040,300,N/A,3160,1693100,1801275,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
9810 Mercerwood Drive,Mercer Island,Washington,98040,300,N/A,3160,1693100,1801275,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
2344 North 62nd Street,Seattle,Washington,98103,300,N/A,3460,2000400,1258238,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
1933 48th Avenue Southwest,Seattle,Washington,98116,300,N/A,3460,2132100,1825400,N/A,4 / 12 or less,1 - 3,40ft,4 - 8,40ft,9 - 20,32ft
1616 92nd Avenue Northeast,Clyde Hill,Washington,98004,300,N/A,4733,4259800,4820486,N/A,4 / 12 or less,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
1127 17th Avenue East,Seattle,Washington,98112,300,N/A,2680,2044200,2310333,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
5034 48th Avenue Northeast,Seattle,Washington,98105,300,Torch Down,4430,3250000,1956425,2,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
3202 19th Avenue South,Seattle,Washington,98144,300,Composition,3680,1259500,840388,N/A,9 / 12,1 - 3,32ft,1 - 3,40ft,20+,40ft
4839 Lakehurst Lane Southeast,Bellevue,Washington,98006,300,Composition,1540,8650000,4905150,N/A,4 / 12 or less,1 - 3,32ft,1 - 3,32ft,20+,32ft
3915 Southwest Frontenac Street,Seattle,Washington,98136,300,N/A,1470,887000,1076313,N/A,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft
2412 67th Avenue Southeast,Mercer Island,Washington,98040,300,N/A,2460,1960100,1852299,N/A,5 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1233 Northeast 97th Street,Seattle,Washington,98115,300,Other,2870,1443900,996161,N/A,6 / 12,1 - 3,40ft,1 - 3,40ft,4 - 8,32ft
9810 Mercerwood Drive,Mercer Island,Washington,98040,300,N/A,3160,1693100,1801275,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
8356 Loyal Way Northwest,Seattle,Washington,98117,300,Metal,1780,1000000,1248775,1,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
2120 2nd Avenue West,Seattle,Washington,98119,300,Composition,2700,2633200,1712913,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
6618 137th Place Southeast,Newcastle,Washington,98059,300,Composition,2656,1414400,1202738,3,,,,,,,
3226 Northeast Glisan Street,Portland,Oregon,97232,300,N/A,3179,1081800,1169276,N/A,7 / 12,1 - 3,32ft,4 - 8,32ft,4 - 8,32ft
12803 Northeast 109th Place,Kirkland,Washington,98033,300,N/A,2210,1523900,1533025,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
12232 Densmore Avenue North,Seattle,Washington,98133,295,Composition,2750,1153800,859838,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
1200 25th Avenue East,Seattle,Washington,98112,295,N/A,2470,1646000,1509914,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
3715 96th Avenue Northeast,Kirkland,Washington,98033,295,Composition,3579,3000000,3820957,1,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
3170 Seiford Avenue Southeast,Port Orchard,Washington,98366,295,N/A,2124,429600,425838,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
2918 Southeast 35th Avenue,Portland,Oregon,97202,295,Composition,1693,695300,730438,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
13321 Northeast 129th Street,Kirkland,Washington,98034,295,Composition,2010,1454400,1483375,N/A,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
3815 Cascadia Avenue South,Seattle,Washington,98118,295,N/A,4327,2524000,1868463,N/A,,,,,,,
914 9th Avenue North,Edmonds,Washington,98020,295,Composition,2534,1548600,1679788,N/A,6 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
1408 North 36th Street,Seattle,Washington,98103,295,Composition,2770,1796100,775950,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1413 Rosemarie Drive,West Linn,Oregon,97068,295,Composition,2423,681000,361313,2,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
8359 120th Avenue Southeast,Newcastle,Washington,98056,295,N/A,3870,2199950,1760231,N/A,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
2020 Atlas Road,Bothell,Washington,98021,295,Composition,3267,1540400,1383350,N/A,5 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
1920 33rd Avenue South,Seattle,Washington,98144,295,N/A,3380,1934400,1605350,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
16056 160th Place Southeast,Renton,Washington,98058,295,Composition,3148,1044600,1058963,N/A,,,,,,,
7803 222nd Street Southwest,Edmonds,Washington,98026,295,Composition,2376,990000,791600,2,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
925 Federal Avenue East,Seattle,Washington,98102,295,Asphalt,3190,2262700,1539557,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5 Northeast 71st Avenue,Portland,Oregon,97213,295,N/A,1400,556300,586838,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5710 18th Avenue Northeast,Seattle,Washington,98105,295,Composition,3000,1525100,1501725,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
4731 38th Avenue Northeast,Seattle,Washington,98105,295,N/A,2950,1726600,1108413,N/A,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
13214 126th Court Northeast,Kirkland,Washington,98034,295,N/A,2620,1522900,1373775,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
5225 16th Avenue Northeast,Seattle,Washington,98105,295,Composition,3819,1811500,1380675,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
6918 180th Street Southeast,Snohomish,Washington,98296,295,Composition,1512,573000,1161250,1,6 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,6ft
228 Northeast Stanton Street,Portland,Oregon,97212,295,Shake / Shingle,1440,475700,515743,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
4054 Northeast 57th Street,Seattle,Washington,98105,295,N/A,2770,2200000,1398300,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
4721 South Findlay Street,Seattle,Washington,98118,295,N/A,2320,1081800,856206,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
10103 28th Drive Southeast,Everett,Washington,98208,295,Composition,1918,739500,785175,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
4213 South Lucile Street,Seattle,Washington,98118,295,N/A,2400,843300,741843,N/A,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
20632 78th Avenue Southeast,Snohomish,Washington,98296,295,Composition,2314,1140700,1111475,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
20632 78th Avenue Southeast,Snohomish,Washington,98296,295,Composition,2314,1140700,1111475,N/A,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
11051 183rd Place Northeast,Redmond,Washington,98052,295,N/A,2480,1685000,1681514,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1800 Southeast 44th Avenue,Portland,Oregon,97215,295,Composition,3100,875000,610450,3,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
8849 Densmore Avenue North,Seattle,Washington,98103,295,N/A,2340,1424800,1095213,N/A,5 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
4114 51st Avenue South,Seattle,Washington,98118,295,Composition,2240,1555300,1740175,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
119 Northwest 55th Street,Seattle,Washington,98107,295,Composition,1490,1279800,1305500,N/A,6 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
8601 Southeast 71st Street,Mercer Island,Washington,98040,295,Composition,2850,1833500,2033863,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
4230 Chanting Circle Southwest,Port Orchard,Washington,98367,295,Composition,2314,590000,536350,2,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft
14722 20th Avenue Northeast,Shoreline,Washington,98155,295,N/A,3170,1151800,884586,N/A,6 / 12,1 - 3,20ft,4 - 8,20ft,9 - 20,20ft
23416 Southeast 49th Street,Issaquah,Washington,98029,295,Composition,3838,1810100,1822450,N/A,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1945 Northwest 28th Place,Portland,Oregon,97210,295,Metal,1873,829500,716075,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
2437 Fiddleback Street Northeast,Lacey,Washington,98516,295,Composition,2003,539300,519200,N/A,8 / 12,,,,,,
3656 42nd Avenue Northeast,Seattle,Washington,98105,295,Composition,2363,1750000,2296925,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
1778 Southwest Spence Avenue,Troutdale,Oregon,97060,295,Composition,1731,531200,452694,N/A,,,,,,,
3900 91st Avenue Southeast,Mercer Island,Washington,98040,295,Composition,2620,1900400,1665594,N/A,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft
14027 3rd Avenue Northeast,Duvall,Washington,98019,295,N/A,2130,780000,721974,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
2812 South Jackson Street,Seattle,Washington,98144,295,Shake / Shingle,2268,978100,1326550,N/A,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
10525 226th Street Southwest,Edmonds,Washington,98020,295,Composition,2249,925000,1052388,N/A,7 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
22997 Southeast 52nd Street,Issaquah,Washington,98029,295,N/A,3730,1998500,1974813,N/A,,,,,,,
711 19th Avenue,Seattle,Washington,98122,295,Composition,2780,1436900,971450,N/A,10 / 12,1 - 3,40ft,1 - 3,32ft,4 - 8,32ft
8849 North Burrage Avenue,Portland,Oregon,97217,295,Shake / Shingle,1410,457700,423663,N/A,8 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
1807 Redmond Place Northeast,Renton,Washington,98056,295,N/A,2900,1169900,1070425,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
227 Lind Avenue Northwest,Renton,Washington,98057,295,Asphalt,4060,1002200,933317,N/A,6 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft
942 Southwest Adrian Terrace,Beaverton,Oregon,97005,295,Shake / Shingle,2204,618700,607713,N/A,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft
6765 Southeast 2nd Street,Renton,Washington,98059,295,Composition,3230,1249950,1274025,2,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
35128 Southeast Kinsey Street,Snoqualmie,Washington,98065,295,Asphalt,2340,1035300,966825,N/A,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft
6556 36th Avenue Northeast,Seattle,Washington,98115,295,N/A,2300,1291500,1431329,N/A,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft
3755 Southeast Sherman Street,Portland,Oregon,97214,295,Shake / Shingle,1238,591900,588188,N/A,10 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
2033 24th Avenue East,Seattle,Washington,98112,295,Composition,3040,1643100,1316650,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
2033 24th Avenue East,Seattle,Washington,98112,295,Composition,3040,1643100,1316650,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
4422 38th Avenue Southwest,Seattle,Washington,98126,295,N/A,2000,821000,856317,N/A,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft
8556 1st Avenue Northeast,Seattle,Washington,98115,295,N/A,1460,754800,896475,N/A,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft
4016 20th Avenue Southwest,Seattle,Washington,98106,295,N/A,2150,1267600,836556,N/A,,,,,,,
1811 145th Street Southwest,Lynnwood,Washington,98087,295,Composition,1839,731900,821863,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft
9232 17th Avenue Southwest Unit B,Seattle,Washington,98106,295,N/A,1010,540600,557585,N/A,,,,,,,
3217 Northeast Rodney Avenue,Portland,Oregon,97212,295,N/A,2462,878000,595288,N/A,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft
3815 Cascadia Avenue South,Seattle,Washington,98118,295,N/A,4327,2524000,1868463,N/A,,,,,,,
8039 Southeast 45th Street,Mercer Island,Washington,98040,295,N/A,1560,2422600,3633263,N/A,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
8039 Southeast 45th Street,Mercer Island,Washington,98040,295,N/A,1560,2422600,3633263,N/A,4 / 12 or less,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft
